DCounts,Refs,R
356.00,0.303,10
326.00,0.303,10
377.00,0.303,10
381.00,0.303,10
346.00,0.303,10
383.00,0.303,10
381.00,0.303,10
381.00,0.303,10
383.00,0.303,10
384.00,0.303,10
384.00,0.303,10
380.00,0.303,10
378.00,0.303,10
407.00,0.5415,10
417.00,0.5415,10
415.00,0.5415,10
392.00,0.5415,10
420.00,0.5415,10
417.00,0.5415,10
421.00,0.5415,10
417.00,0.5415,10
406.00,0.5415,10
420.00,0.5415,10
417.00,0.5415,10
406.00,0.5415,10
419.00,0.5415,10
416.00,0.5415,10
450.00,0.895,10
431.00,0.895,10
449.00,0.895,10
448.00,0.895,10
430.00,0.895,10
443.00,0.895,10
446.00,0.895,10
428.00,0.895,10
445.00,0.895,10
444.00,0.895,10
428.00,0.895,10
444.00,0.895,10
444.00,0.895,10
422.00,0.895,10
420.00,0.895,10
297.00,0.0887,10
297.00,0.0887,10
300.00,0.0887,10
299.00,0.0887,10
299.00,0.0887,10
302.00,0.0887,10
298.00,0.0887,10
323.00,0.0887,10
323.00,0.0887,10
312.00,0.1112,10
316.00,0.1112,10
307.00,0.1112,10
310.00,0.1112,10
350.00,0.1639,10
346.00,0.1639,10
357.00,0.1639,10
359.00,0.1639,10
349.00,0.1639,10
351.00,0.1639,10
342.00,0.1639,10
347.00,0.1639,10
340.00,0.1639,10
342.00,0.1639,10
341.00,0.1639,10
330.00,0.303,15
365.00,0.5415,15
384.00,0.895,15
253.00,0.0887,15
269.00,0.1112,15
300.00,0.1639,15
346.00,,20
359.00,,20
357.00,,20
361.00,,20
361.00,,20
357.00,,20
361.00,,20
357.00,,20
361.00,,20
361.00,,20
361.00,,20
354.00,,20
328.00,,20
334.00,,20
334.00,,20
332.00,,20
334.00,,20
337.00,,20
330.00,,20
330.00,,20
334.00,,20
334.00,,20
334.00,,20
330.00,,20
334.00,,20
336.00,,20
334.00,,20
336.00,,20
330.00,,20
332.00,,20
334.00,,20
323.00,,20
328.00,,20
328.00,,20
207.00,,20
218.00,,20
209.00,,20
225.00,,20
234.00,,20
216.00,,20
211.00,,20
225.00,,20
218.00,,20
218.00,,20
211.00,,20
220.00,,20
218.00,,20
222.00,,20
213.00,,20
265.00,,20
303.00,,20
305.00,,20
296.00,,20
301.00,,20
305.00,,20
240.00,,20
298.00,,20
303.00,,20
301.00,,20
296.00,,20
307.00,,20
301.00,,20
305.00,,20
301.00,,20
303.00,,20
303.00,,20
296.00,,20
298.00,,20
298.00,,20
301.00,,20
256.00,,20
296.00,,20
301.00,,20
299.00,,20
249.00,,20
298.00,,20
301.00,,20
305.00,,20
245.00,,20
283.00,,20
598.00,0.303,2
597.00,0.303,2
595.00,0.303,2
595.00,0.303,2
595.00,0.303,2
594.00,0.303,2
594.00,0.303,2
588.00,0.303,2
589.00,0.303,2
587.00,0.303,2
591.00,0.303,2
591.00,0.303,2
593.00,0.303,2
589.00,0.303,2
593.00,0.303,2
591.00,0.303,2
590.00,0.303,2
588.00,0.303,2
590.00,0.303,2
590.00,0.303,2
593.00,0.303,2
591.00,0.303,2
590.00,0.303,2
599.00,0.303,2
587.00,0.303,2
591.00,0.303,2
589.00,0.303,2
593.00,0.303,2
589.00,0.303,2
593.00,0.303,2
594.00,0.303,2
592.00,0.303,2
591.00,0.303,2
591.00,0.303,2
591.00,0.303,2
594.00,0.303,2
590.00,0.303,2
591.00,0.303,2
590.00,0.303,2
591.00,0.303,2
596.00,0.303,2
587.00,0.303,2
587.00,0.303,2
592.00,0.303,2
594.00,0.303,2
590.00,0.303,2
593.00,0.303,2
592.00,0.303,2
592.00,0.303,2
591.00,0.303,2
591.00,0.303,2
591.00,0.303,2
590.00,0.303,2
589.00,0.303,2
590.00,0.303,2
593.00,0.303,2
595.00,0.303,2
590.00,0.303,2
592.00,0.303,2
590.00,0.303,2
590.00,0.303,2
589.00,0.303,2
592.00,0.303,2
594.00,0.303,2
591.00,0.303,2
589.00,0.303,2
593.00,0.303,2
593.00,0.303,2
592.00,0.303,2
591.00,0.303,2
594.00,0.303,2
595.00,0.303,2
590.00,0.303,2
588.00,0.303,2
589.00,0.303,2
592.00,0.303,2
592.00,0.303,2
591.00,0.303,2
594.00,0.303,2
594.00,0.303,2
590.00,0.303,2
592.00,0.303,2
593.00,0.303,2
592.00,0.303,2
592.00,0.303,2
595.00,0.303,2
591.00,0.303,2
590.00,0.303,2
591.00,0.303,2
590.00,0.303,2
591.00,0.303,2
593.00,0.303,2
593.00,0.303,2
592.00,0.303,2
592.00,0.303,2
593.00,0.303,2
595.00,0.303,2
595.00,0.303,2
595.00,0.303,2
592.00,0.303,2
594.00,0.303,2
592.00,0.303,2
594.00,0.303,2
593.00,0.303,2
589.00,0.303,2
587.00,0.303,2
